"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"Porter Scott A Professional Corporation","8","$23,494.50","158.90","$3,544.49","$17,050.69","$0.00"
"WEBSTER HENRY BRADWELL COHAN SPEAGLE & DESHAZO PC","2","$18,023.24","263.00","$127.37","$16,825.02","$0.00"
"MORROW & WHITE","9","$44,859.60","95.50","$32.32","$16,808.00","$0.00"
"DEACON & MOULDS","1","$65,230.72","310.30","$3,978.28","$16,801.75","$0.00"
"LAW OFFICES OF STEPHEN J MCGIFF PC","3","$19,547.42","96.90","$0.00","$16,712.50","$0.00"
"Grignon Law Firm","1","$16,696.63","74.60","$7.03","$16,689.60","$0.00"
"RICHARDSON PLOWDEN & ROBINSON PA","2","$11,830.18","370.60","$2,487.43","$16,614.78","$0.00"
"SIMON LAW GROUP, P.C.","18","$3,916.82","264.50","$992.51","$16,572.00","$0.00"
"STAHL & DELAURENTIS PC","15","$6,596.78","157.80","$0.00","$16,385.70","$0.00"
"GUGLIOTTA & PONZINI PC","7","$10,210.25","78.70","$3,249.54","$16,309.50","$0.00"
"Eccleston & Wolf, P.C.","2","$8,207.92","106.70","$0.00","$16,307.20","$0.00"
"Williams Mullen","5","$98,913.04","149.40","$0.00","$16,301.29","$0.00"
"RILEY BENNETT & EGLOFF LLP","2","$32,358.99","97.20","$486.44","$16,286.39","$0.00"
"SHEELEY LLP, .","1","$27,481.25","82.30","$0.00","$16,139.75","$0.00"
"OSBURN HINE & YATES","2","","83.40","$0.00","$16,109.50","$0.00"
"Ulmer & Berne","4","$9,946.83","48.20","$1,152.80","$16,099.50","$0.00"
"Tucker Ellis","2","$24,887.27","46.10","$0.00","$15,989.91","$0.00"
"HUFF POWELL & BAILEY LLC","19","$4,731.46","140.40","$598.00","$15,926.00","$0.00"
"Gray Duffy, LLP","1","","107.40","$333.58","$15,917.70","$0.00"
"GRECO TRAFICANTE SCHULZ & BRICK","1","$33,940.67","91.20","$978.36","$15,911.00","$0.00"
"NERET FINLAY & NGUYEN","4","$14,556.29","130.30","$4,276.00","$15,907.00","$0.00"
"BERMAN VOSS","3","$9,305.50","113.10","$7.50","$15,835.00","$0.00"
"LAW OFFICE OF IRENE BOWDRY","4","$36,078.38","111.70","$155.64","$15,830.00","$0.00"
"Powers & Sellers","6","$49,841.42","139.30","$40.75","$15,746.18","$0.00"
"CREMER SPINA SHAUGHNESSY JANSEN & SIEGERT LLC","2","$7,063.80","92.90","$2,271.25","$15,726.00","$0.00"
"NEUBERT PEPE & MONTEITH PC","2","$13,901.30","99.30","$0.00","$15,539.41","$0.00"
"WILSON & RATLEDGE, PLLC","4","$5,283.59","138.80","$573.40","$15,442.50","$0.00"
"MAYER LLP","3","$25,054.47","103.90","$3,672.47","$15,220.00","$0.00"
"HOPKINS & HUEBNER PC","2","$19,902.50","98.60","$2.00","$15,159.00","$0.00"
"Halverson & Mahlen","2","$24,020.60","109.60","$169.32","$15,132.42","$0.00"
"KERRICK BACHERT PSC","3","$12,100.47","125.40","$2,617.23","$15,124.32","$0.00"
"RITSEMA & LYON","5","$14,346.21","124.90","$435.06","$15,112.50","$0.00"
"PHELAN, PHELAN & DANEK, LLP","1","$23,769.96","95.70","$8,040.00","$14,951.85","$0.00"
"KARASOFF & ASSOCIATES PC","3","$23,711.84","104.20","$8.00","$14,943.25","$0.00"
"WALKER MURPHY & NELSON","2","$11,885.25","106.10","$15.00","$14,866.50","$0.00"
"STONE & JOHNSON","4","$26,865.40","171.60","$315.07","$14,856.75","$0.00"
"SHEALY CRUM & PIKE PC","2","$8,316.67","97.40","$25.68","$14,830.16","$0.00"
"BLEDSOE CATHCART DIESTEL & PEDERESEN","1","$18,547.17","94.00","$3,722.17","$14,825.00","$0.00"
"KEAN MILLER LLP","1","$361,303.50","93.30","$1,310.47","$14,822.00","$0.00"
"Hagwood & Tipton","3","$11,434.92","121.60","$77.57","$14,790.49","$0.00"
"OROS & ASSOCIATES - JIM F OROS JR PC","5","$4,801.62","188.00","$795.21","$14,728.96","$0.00"
"GASCO GOODHUE ST-GERMAIN LLP","1","$14,686.50","56.50","$0.00","$14,686.50","$0.00"
"BRENNAN & KRETSCHMER","1","$23,032.34","104.50","$404.84","$14,682.50","$0.00"
"PHILLIPS PARKER ORBERSON MOORE","2","$12,835.00","107.60","$0.00","$14,666.50","$0.00"
"BARNWELL WHALEY PATTERSON & HELMS","1","","260.20","$935.20","$14,626.21","$0.00"
"Hawkins Parnell & Young","6","$15,944.99","70.90","$28.13","$14,530.44","$0.00"
"Poyner Spruill","3","$6,698.00","85.40","$0.00","$14,492.00","$0.00"
"FITZPATRICK HUNT PAGANO & AUBERT LLP","1","$14,480.00","83.60","$0.00","$14,480.00","$0.00"
"Simmons & Simmons","1","$20,521.48","25.90","$0.00","$14,353.26","$0.00"
"LEWIS JOHS AVALLONE & AVILES LLP","5","$17,097.78","132.20","$811.37","$14,348.25","$0.00"
"POPE AYLWARD SWEENEY & STEPHENSON LLP","4","$5,187.31","138.60","$800.00","$14,321.59","$0.00"
"RUBINE & RUBINE LAW LLC","2","$20,535.16","83.50","$1,150.04","$14,261.00","$0.00"
"Doll Amir & Eley LLP","1","$25,349.28","23.70","$809.28","$14,220.00","$0.00"
"HOLTKAMP LIESE SCHULTZ & HILLIKER PC","4","$21,018.03","106.30","$496.65","$14,211.00","$0.00"
"FARBER BROCKS & ZANE LLP","5","$82,185.49","76.40","$89.54","$14,110.00","$0.00"
"TOMPKINS, MCGUIRE, WACHENFELD & BARRY, LLP","4","$10,244.33","120.50","$228.87","$14,047.00","$0.00"
"WILLSON JONES CARTER & BAXLEY","6","$4,989.37","121.10","$0.00","$13,987.62","$0.00"
"Goodell Stratton Edmonds & Palmer","1","$13,921.10","94.30","$0.00","$13,921.10","$0.00"
"CHITTENDEN, MURDAY & NOVOTNY LLC","3","$11,890.42","53.50","$943.25","$13,918.00","$0.00"
"THE SIMON LAW GROUP","14","$3,478.16","109.00","$0.00","$13,783.50","$0.00"
"THE SAVAGE LAW GROUP PA","1","$40,916.28","39.30","$0.00","$13,755.00","$0.00"
"HUMPHREY LAW GROUP","2","$59,729.52","111.20","$1,230.25","$13,737.30","$0.00"
"HOAGLAND LONGO MORAN DUNST & DOUKAS LLP","1","$90,745.91","83.80","$0.00","$13,576.00","$0.00"
"STOLL KEENON OGDEN PLLC","1","$1,447,694.66","55.60","$1.36","$13,384.00","$0.00"
"Peterson & Myers","1","$13,332.00","64.20","$0.00","$13,332.00","$0.00"
"HUMPHREY HANNON PC","5","$3,644.75","140.80","$254.24","$13,314.51","$0.00"
"PIEHLER STRANDE SC","16","$1,715.24","109.90","$633.73","$13,222.11","$0.00"
"Wilkinson, Goeller, Modesitt, Wilkinson & Drummy","1","$13,210.00","65.80","$50.00","$13,160.00","$0.00"
"Mcgivney Kluger Clark & Intoccia","6","$29,000.57","108.80","$138.74","$13,152.98","$0.00"
"Sweeney & Fiser","5","$7,951.41","109.90","$211.25","$13,102.50","$0.00"
"Law Offices of Joseph D. Tuchmayer","4","$21,373.44","97.20","$6,917.94","$12,992.00","$0.00"
"BREAZEALE, SACHSE & WILSON","2","$84,180.22","81.20","$126.96","$12,942.40","$0.00"
"Kendall Brill & Klieger","1","$12,881.00","47.00","$0.00","$12,881.00","$0.00"
"BRADSHAW STEELE COCHRANE & BERENS LC","6","$1,680.23","116.10","$0.00","$12,858.66","$0.00"
"Horton-Williams Law Firm, PLLC","24","$2,622.03","99.60","$0.00","$12,620.44","$0.00"
"SHACKELFORD BOWEN MCKINLEY & NORTON LLP","2","$1,210.00","47.70","$82.31","$12,584.30","$0.00"
"L'Abbate, Balkan, Colavita & Contini, Llp","1","$25,027.06","69.70","$487.70","$12,432.01","$0.00"
"Crowe & Dunlevy","1","","35.70","$0.00","$12,431.40","$0.00"
"TANZILLO GALLUCCI LLC, .","1","$23,296.19","69.00","$257.10","$12,420.00","$0.00"
"BAI, POLLOCK, BLUEWEISS, MULCAHEY, PC","2","$26,043.83","77.10","$0.00","$12,373.50","$0.00"
"Overturf McGath & Hull","2","$5,133.42","171.30","$923.24","$12,265.34","$0.00"
"Winter Trimacco Co","1","","63.80","$0.00","$12,246.25","$0.00"
"LEDY GURREN BASS & SIFF, LLP","1","$28,268.08","72.50","$3,244.29","$12,193.50","$0.00"
"Sponsler Bishop Koren & Hammer","1","$12,291.50","100.30","$0.00","$12,018.00","$0.00"
"COURTNEY COUNTISS BRIAN & BAILEY LLP","1","","68.20","$53.96","$11,935.00","$0.00"
"KINKLE RODIGER SPRIGGS","5","$15,324.77","103.70","$6,957.89","$11,659.57","$0.00"
"Molod Spitz & Desantis, P.C.","2","$26,577.79","52.90","$35.00","$11,649.50","$0.00"
"Starnes Davis Florie LLP","2","$29,427.71","84.80","$4,960.92","$11,572.73","$0.00"
"FRIDAY ELDREDGE & CLARK","3","$7,178.19","76.30","$106.65","$11,545.60","$0.00"
"Hedrick Gardner Kincheloe & Garofalo LLP","3","$24,696.98","68.10","$0.00","$11,514.00","$0.00"
"POOLE & SHAFFERY LLP","1","$11,509.43","82.30","$0.00","$11,509.43","$0.00"
"NAGORNY & STIPECHE PC","5","$2,444.49","54.80","$38.67","$11,466.00","$0.00"
"KEOGH COX & WILSON LTD","2","$17,754.56","67.60","$995.16","$11,456.50","$0.00"
"GOLDMAN MAGDALIN & KRIKES LLP","6","$19,997.12","81.40","$41.66","$11,426.00","$0.00"
"Jenks & Harvey","3","$23,357.90","50.70","$0.00","$21,515.00","$10,147.50"
"DE LA PENA & HOLIDAY LLP","1","$97,106.05","63.90","$173.39","$11,206.31","$0.00"
"HALICZER PETTIS & SCHWAMM","1","$13,033.23","50.10","$1,955.73","$11,052.50","$0.00"
"Guerra, Leeds, Sabo & Hernandez, P.L.L.C.","2","$282,293.09","142.50","$14.42","$11,046.00","$0.00"
"Foster, Swift, Collins & Smith","1","$10,919.74","50.20","$0.00","$10,919.74","$0.00"
"SMITH & CARR PC","1","$13,576.46","84.50","$24.64","$10,825.50","$0.00"
"Asw Law Limited","2","$140,266.80","10.00","$0.00","$15,430.00","$4,640.00"
"GRAVES BOURASSA RIPPINGER & KEMPNER","1","","71.40","$57.84","$10,732.00","$0.00"
"Wright Lindsey & Jennings","1","","41.20","$0.00","$10,712.00","$0.00"
"BROWN BONN & FRIEDMAN LLP","3","$14,260.22","175.90","$2,194.38","$10,700.99","$0.00"
"Emmet Marvin & Martin","1","$320,278.45","18.40","$615.50","$61,706.20","$51,151.80"
"BROCK PERSON GUERRA REYNA PC","2","$37,397.59","61.30","$2,305.22","$10,504.50","$0.00"
"Turner & Turner","2","$35,346.22","74.50","$69.97","$10,491.22","$0.00"
"DONALD RANDALL & DONALD","6","$4,766.94","83.50","$228.00","$10,437.50","$0.00"
"WOODS LONERGAN PLLC","2","$5,308.08","63.20","$409.05","$10,207.10","$0.00"
"REILLY JANICZEK & MCDEVITT PC","1","$176,273.90","62.90","$84,230.94","$10,049.00","$0.00"
"KEATING JONES HUGHES PC","2","$5,018.10","88.80","$0.00","$10,036.20","$0.00"
"Shardul Amarchand Mangaldas & Co","1","$141,401.00","28.30","$0.00","$10,021.00","$0.00"
"Sisselman & Schwartz","1","$10,282.20","60.70","$266.70","$10,015.50","$0.00"
"SKELLENGER BENDER PS","1","$9,996.00","39.20","$0.00","$9,996.00","$0.00"
"STROW LAW, LLC","1","","44.60","$237.87","$9,950.26","$0.00"
"LINDSAY HART LLP","4","$2,784.06","65.90","$1,256.28","$9,879.97","$0.00"
"MORAN BRANDON BENDAVID MORAN","4","$30,726.13","69.90","$21,845.58","$9,867.50","$0.00"
"Russin Vecchi & Heredia Bonetti","1","","11.00","$446.04","$19,654.17","$9,850.00"
"HALLETT & PERRIN PC","1","$12,099.24","165.90","$349.93","$9,779.33","$0.00"
"KATZ & RYCHIK P.C.","1","$9,801.00","56.60","$35.00","$9,766.00","$0.00"
"HENDERSON FRANKLIN STARNES & HOLT PA","4","$5,272.02","82.50","$1,671.97","$9,732.17","$0.00"
"Carothers Disante & Freudenberger","1","","19.30","$2,383.20","$9,650.00","$0.00"
"MCCONNAUGHHAY COONROD POPE WEAVER & STERN PA","2","$8,781.32","76.10","$8.80","$9,579.00","$0.00"
"LANGLEY LLP","1","","50.80","$656.10","$9,538.01","$0.00"
"Voller Law Office","6","$6,405.22","87.90","$129.55","$9,485.53","$0.00"
"Tolleson Conratt Nielsen Maher & Replogle","5","$23,800.39","78.30","$256.50","$9,455.80","$0.00"
"Thomas Rubin & Kelley","1","","130.40","$0.00","$9,345.00","$0.00"
"PAUL B RODGERS III","6","$3,747.72","58.80","$653.20","$9,273.00","$0.00"
"FLETCHER FARLEY SHIPMAN & SALINAS LLP","2","$44,363.51","69.40","$0.32","$9,254.00","$0.00"
"WALKER FERGUSON & FERGUSON","1","$38,122.06","86.30","$17.00","$9,254.00","$0.00"
"Rosenwood Rose & Litwak","1","","44.20","$0.00","$9,203.00","$0.00"
"CRAWFORD WISHNEW LANG","1","$23,407.66","22.20","$0.00","$9,189.00","$0.00"
"CURRIE JOHNSON GRIFFIN & MYERS PA","8","$9,814.25","65.80","$198.28","$9,083.07","$0.00"
"SPICER RUDSTROM PLLC","1","","64.40","$0.00","$9,066.50","$0.00"
"Savitz Law","12","$5,888.97","80.90","$0.00","$9,021.00","$0.00"
"Gunster, Yoakley & Stewart","3","$431,048.25","37.50","$3,530.04","$8,996.21","$0.00"
"Fausto A Rosales","1","$9,940.58","52.20","$965.58","$8,975.00","$0.00"
"JOSEPH STALMACK & ASSOCIATES","1","$34,071.52","59.80","$2,825.17","$8,970.00","$0.00"
"MOULEDOUX BLAND LEGRAND & BRACKETT","2","$4,649.75","150.30","$0.00","$8,967.00","$0.00"
"IZZO GARDNER & CARDOZA LLP","2","","66.00","$713.14","$8,947.40","$0.00"
"Fenley, Bate","1","$11,823.15","59.20","$2,888.15","$8,935.00","$0.00"
"WISEMAN ASHWORTH LAW GROUP PLC","1","$9,627.68","51.30","$49.68","$8,758.00","$0.00"
"Haahr Law Group, PL","9","$13,852.43","69.50","$0.00","$8,706.46","$0.00"
"YOUNG, MOORE AND HENDERSON, P.A.","1","$8,752.00","57.10","$0.00","$8,640.50","$0.00"
"CORRIDOR LAW GROUP PC","10","$19,634.99","82.70","$98.96","$8,619.50","$0.00"
"KLEHR HARRISON HARVEY BRANZBURG & ELLERS LLP","1","$95,935.74","42.40","$59.30","$8,589.00","$0.00"
"Bremer Whyte Brown & O'Meara, Llp","1","$20,253.13","61.20","$63.17","$8,569.50","$0.00"
"HAWORTH ROSSMAN & GERSTMAN LLC","7","$26,205.44","66.40","$638.17","$8,567.72","$0.00"
"Brooks, Berne & Herndon Pplc","1","$113,589.81","38.10","$62.75","$8,540.00","$0.00"
"HUIE FERNAMBUCQ & STEWART LLP","1","$30,427.77","47.50","$228.69","$8,489.61","$0.00"
"PALLO MARKS HERNANDEZ GECHIJIAN & DEMAY","2","$68,542.83","79.20","$0.00","$8,441.40","$0.00"
"WILSON GETTY LLP","1","$8,456.00","66.00","$66.00","$8,390.00","$0.00"
"Fuchs Rosenzweig","1","","36.10","$0.00","$8,337.50","$0.00"
"Vanst Law","1","$344,164.54","16.70","$0.00","$8,266.50","$0.00"
"COLLINSON DAEHNKE INLOW & GRECO-ATTORNEYS AT LAW","1","","54.50","$0.00","$8,215.50","$0.00"
"Sponsler Koren Hammer & Lahey","2","$10,101.75","67.70","$0.00","$8,185.50","$0.00"
"O'Hagan Philadelphia","16","$3,980.30","63.50","$103.25","$8,176.60","$0.00"
"LUH CARLSON & FERRIS","6","$11,499.40","70.80","$190.00","$8,158.77","$0.00"
"CASSIDAY SCHADE LLP","1","","53.00","$0.00","$8,136.00","$0.00"
"Law Office Of Louie J. Yanza","1","","32.45","$1,962.46","$8,091.73","$0.00"
"JAMES D REED PA","5","$8,631.34","57.80","$5.92","$8,074.10","$0.00"
"Arias Honduras Servicios Juridicos Sa","1","","6.00","$278.55","$16,035.33","$8,019.75"
"LANGSTON HESS & MOYLES PA","2","$21,085.35","68.40","$0.00","$8,002.80","$0.00"
"Fryberger, Buchanan, Smith & Frederick","1","","19.80","$0.00","$7,945.00","$0.00"
"Mccormick Gordon Bloskey & Poirier","1","$10,641.68","62.40","$7.68","$7,944.00","$0.00"
"HOWELL & FISHER","1","$20,393.40","67.40","$0.00","$7,939.00","$0.00"
"BURKE SCOLAMIERO MORTATI & HURD LLP","1","","80.50","$500.57","$7,877.84","$0.00"
"METHFESSEL & WERBEL, ESQS.","6","$16,575.65","55.50","$232.52","$7,859.00","$0.00"
"HILTGEN & BREWER PC","1","$44,261.55","64.50","$524.14","$7,815.00","$0.00"
"CARLO LAW","2","$64,090.77","24.10","$0.00","$7,805.00","$0.00"
"Walsh Pizzi O'Reilly Falanga","1","","25.50","$0.00","$7,743.00","$0.00"
"Alvarado Y Asociados","1","","12.00","$1,315.50","$7,675.75","$0.00"
"HYDE LOVE & OVERBY LLP","1","","52.30","$0.00","$7,660.16","$0.00"
"BISHOP BARRY","3","$41,919.30","46.50","$2,313.62","$7,648.09","$0.00"
"Dentons Europe Cs","2","$29,015.89","13.10","$5,515.37","$7,615.20","$0.00"
"SIVE, PAGET, RIESEL","2","$19,606.30","24.10","-$449.35","$7,608.20","$0.00"
"Mccullough Hill Leary","2","$367,644.16","23.20","$0.00","$7,550.18","$0.00"
"The Mayers Firm LLC","4","$21,373.44","54.50","$2,149.50","$7,504.50","$0.00"
"LYONS PHILLIPS LEGAL GROUP PLLC","3","$2,504.21","44.90","$32.64","$7,480.00","$0.00"
"Mounce, Green, Myers, Safi & Galatzan","5","$2,402.52","56.70","$2.48","$7,451.98","$0.00"
"LAW OFFICES OF BRIAN COLLINS","3","$17,051.56","56.20","$0.00","$7,429.00","$0.00"
"BABST CALLAND CLEMENTS & ZOMNIR","2","$169,728.33","48.50","$16.68","$7,409.53","$0.00"
"BRYCE, DOWNEY, LLC","4","$65,585.00","70.20","$227.20","$7,391.66","$0.00"
"HEIDMAN LAW FIRM","1","$21,140.00","53.40","$0.00","$7,343.00","$0.00"
"The Natale Law Firm LLC d/b/a Natale & Wolinetz","2","$6,356.00","43.30","$0.00","$7,134.50","$0.00"
"Stradley Ronon Stevens & Young","2","$41,600.62","19.20","$0.00","$7,070.00","$0.00"
"Skoubye Nielson & Johansen","1","","36.90","$10.00","$7,038.50","$0.00"
"FOWLER RODRIGUEZ","1","$80,951.92","50.70","$0.00","$7,027.65","$0.00"
"Decker Law Office","2","$4,306.45","41.30","$1,591.90","$7,021.00","$0.00"
"EDENFIELD, STONE, COX","1","","45.50","$8,022.15","$7,011.16","$0.00"
"Benoit Law, PLLC","3","$2,258.12","55.30","$0.00","$6,998.33","$0.00"
"MATHIS & LUCAS LLP","1","$50,865.56","36.40","$2,628.22","$6,954.00","$0.00"
"Meissner, Tierney, Fisher & Nicols","1","$101,578.08","27.60","$0.00","$6,900.00","$0.00"
"O'TOOLE SCRIVO FERNANDEZ WEINER VAN LIEU LLC","1","$9,605.14","38.40","$0.00","$6,886.23","$0.00"
"Merrill & Merrill","1","$14,810.34","57.30","$1.60","$6,861.00","$0.00"
"RAGGIO CAPPEL CHOZEN & BERNIARD","1","$13,616.32","59.20","$45.50","$6,808.00","$0.00"
"NAMAN HOWELL SMITH & LEE PC","1","$10,727.34","66.20","$17.12","$6,797.06","$0.00"
"Gibson Law Partners","1","$21,320.24","42.70","$362.08","$6,746.60","$0.00"
"BAIRD HOLM LLP","2","$14,431.82","50.10","$5,404.94","$6,746.17","$0.00"
"KREZ & FLORES LLP","3","$46,841.22","42.00","$435.18","$6,706.00","$0.00"
"Sills Cummis & Gross","1","","105.90","$320.84","$6,700.00","$0.00"
"Yankwitt LLP","2","$12,501.94","35.60","$17.69","$6,694.00","$0.00"
"RUPP BAASE PFALZGRAF & CUNNIGHAM","1","$22,858.80","48.80","$790.57","$6,542.00","$0.00"
"MORRIS DUFFY ALONSO & FALEY","1","","43.70","$0.00","$6,510.00","$0.00"
"Arias Guatemala Servicios","1","","6.00","$136.00","$11,710.00","$5,222.50"
"BLEEKE DILLON CRANDALL","2","$106,163.73","37.30","$32.53","$6,471.00","$0.00"
"Curtin Law","1","","45.70","$351.50","$6,436.50","$0.00"
"BRYCE DOWNEY & LEKOV","3","$86,317.68","63.90","$32.94","$6,424.85","$0.00"
"Ferrere Abogados","1","","6.00","$2,831.13","$9,503.85","$3,080.00"
"HOSKINS LAW OFFICES","12","$7,718.97","63.00","$935.15","$6,282.00","$0.00"
"CLARE & SCOTT LLC","2","$38,907.55","34.90","$16.40","$6,237.50","$0.00"
"Schiller Barnes Maloney, PLLC","1","","40.50","$9,151.00","$6,220.50","$0.00"
"YATES MCLAMB & WEYHER LLP","1","$23,049.10","33.70","$6,326.10","$6,194.50","$0.00"
"LAW OFFICE OF EDWARD T DE LA LOZA","4","$22,432.71","46.40","$0.00","$6,183.00","$0.00"
"MCINTYRE TATE LLP","1","","17.70","$0.00","$6,182.00","$0.00"
"OLSEN SKOUBYE NIELSON","1","","28.90","$0.00","$6,122.00","$0.00"
"MYERS DOYLE","1","$6,140.11","38.00","$28.61","$6,111.50","$0.00"
"SMITH MILLS SCHROCK BLADES MONTHEI PC","3","$22,344.45","51.10","$242.40","$6,109.00","$0.00"
"TARSHIS & HAMMERMAN, LLP","1","$6,657.10","39.60","$0.00","$6,101.00","$0.00"
"Barnaba And Marconi","1","$6,035.00","27.00","$0.00","$6,035.00","$0.00"
"Simon & Simon, PC","5","$4,952.64","44.10","$33.50","$5,970.00","$0.00"
"Vogel Law Firm","1","","26.20","$0.00","$5,912.00","$0.00"
"BENOIT ALEXANDER HARWOOD HIGH & MOLLERUP PLLC","1","$15,347.26","48.90","$1,934.97","$5,896.53","$0.00"
"FULLER LAW GROUP PC","1","$6,016.48","41.20","$0.48","$5,889.00","$0.00"
"Perez Morris","7","","89.90","$3,328.91","$5,852.93","$0.00"
"KARLIN HIURA & LASOTA LLP","1","$7,170.56","39.20","$0.00","$5,835.00","$0.00"
"KENNEY & SAMS, P.C.","1","","25.60","$0.00","$5,778.80","$0.00"
"SCOPELITIS GARVIN LIGHT HANSON & FEARY PC","1","$17,154.00","43.40","$0.00","$5,764.00","$0.00"
"Hancock and Estabrook, LLP","1","$11,205.29","29.40","$460.74","$5,710.00","$0.00"
"BOYD RICHARDS PARKER & COLONNELLI PL","2","$27,748.67","39.40","$16.88","$5,698.69","$0.00"
"MCDONALD TOOLE WIGGINS PA","1","$12,633.20","29.00","$95.48","$5,674.58","$0.00"
"LUBELL & ROSEN LLC","1","$11,017.35","23.60","$26.80","$5,610.00","$0.00"
"OVERTURF & MCGATH, HULL & DOHERT, PC","2","$5,133.42","58.60","$29.47","$5,558.56","$0.00"
"The Tarantino Law Firm","1","","24.70","$0.00","$5,545.00","$0.00"
"LAW OFFICE OF PAULA L DIONNE","5","$13,877.52","37.20","$0.00","$5,543.00","$0.00"
"MCCRANIE SISTRUNK ANZELMO HARD","1","$12,107.00","27.20","$0.00","$5,537.50","$0.00"
"DAVID P TURCHI ESQ PC","1","","62.90","$115.50","$5,511.00","$0.00"
"Garofalo Goerlich Hainbach","1","$35,397.50","12.30","$0.00","$5,502.00","$0.00"
"Kim & Chang","2","$44,239.34","8.00","$1,859.14","$41,035.28","$35,562.35"
"Gibbons","2","$12,494.71","37.60","$0.00","$5,452.00","$0.00"
"CROWLEY LAW OFFICE","3","$9,981.45","47.10","$517.82","$5,403.88","$0.00"
"BREDFELDT, ODUKOYA & SUAREZ, LLP","1","$39,193.70","43.80","$0.00","$5,388.50","$0.00"
"Moye White","1","$531,731.34","13.70","$0.00","$5,332.00","$0.00"
"ALI, PAPPAS, PALTZ, COX","2","","37.10","$599.56","$5,304.88","$0.00"
"PROFFITT & COX","1","","55.90","$2,207.16","$5,303.96","$0.00"
"LINDABURY MCCORMICK ESTABROOK & COOPER PC","3","$9,619.86","24.80","$0.00","$5,255.43","$0.00"
"Berger Legal","1","","6.00","$0.00","$134,381.00","$129,152.50"
"WRIGHT LAW PC","1","","46.40","$0.00","$5,228.34","$0.00"
"Huguenin Kahn","1","","25.50","$0.00","$5,194.35","$0.00"
"MILLS PASKERT DIVERS","1","","19.40","$0.00","$5,188.90","$0.00"
"Bowles & Johnson","1","","27.30","$2,145.00","$5,187.00","$0.00"
"ANDERSON MURPHY & HOPKINS LLP","2","$25,613.87","44.10","$2,718.63","$5,160.40","$0.00"
"GARY G GRIMMER & ASSOCIATES","1","$36,596.34","15.60","$0.00","$5,110.00","$0.00"
"D'ANDRE PETERSON BOBUS & ROSENBERG LLP","4","$19,740.43","32.40","$0.00","$5,096.00","$0.00"
"Prince Lobel Tye LLP","1","$15,167.18","27.30","$879.56","$5,077.00","$0.00"
"BURCH PORTER & JOHNSON","4","$230,335.43","31.30","$478.30","$5,010.81","$0.00"
"LARSON & BLUMREICH CHARTERED","1","$5,525.72","43.00","$520.52","$5,005.20","$0.00"
"GOLD & FERRANTE PC","2","$54,572.59","33.90","$0.00","$4,975.50","$0.00"
"THOMAS THOMAS & HAFER LLP","3","$13,714.16","44.10","$306.44","$4,916.40","$0.00"
"MOORE & ELIA","1","$111,429.53","23.80","$0.00","$4,881.00","$0.00"
"Wells Marble & Hurst","2","$13,315.36","29.40","$179.20","$4,880.00","$0.00"
"SWANSON MARTIN & BELL LLP","2","$13,980.75","39.20","$42.93","$4,838.00","$0.00"
"Monsees & Mayer, P.C.","4","$13,773.86","29.50","$345.00","$4,780.50","$0.00"
"Belkin Burden","2","$149,204.18","4.00","$0.00","$4,750.00","$0.00"
"GAIDO & FINTZEN","1","","42.80","$25.00","$4,709.40","$0.00"
"HEIDELBERG STEINBERGER PA","1","$17,179.92","35.40","$10.88","$4,614.20","$0.00"
"BRUNN & FLYNN","1","$4,608.00","18.60","$0.00","$4,608.00","$0.00"
"CUNEO BLACK WARD MISSLER","1","","32.90","$0.00","$4,599.30","$0.00"
"LOPEZ AND PETERSON","3","$6,788.83","31.40","$0.00","$4,599.19","$0.00"
"Mower, Koeller, Nebeker, Carlson & Haluck","2","","24.70","$0.00","$4,560.52","$0.00"
"BAKER STERCHI COWDEN & RICE LLC","2","$163,609.25","18.50","$131.86","$4,558.80","$0.00"
"Clark May Price Lawley Duncan & Paul","1","$4,750.45","19.30","$214.95","$4,535.50","$0.00"
"Pugh Accardo Haas Radecker Carey & Hymel","1","$4,550.02","20.60","$27.52","$4,522.50","$0.00"
"Ashby & Geddes","1","","8.00","$0.00","$16,503.71","$11,993.61"
"VALENCIA, WILBERDING & TOMPKINS","1","","32.20","$2.16","$4,494.00","$0.00"
"Law Office of Paul A. Herman","1","$18,811.50","28.90","$0.00","$4,456.00","$0.00"
"RICE DOLAN & KERSHAW","2","$25,758.72","32.60","$774.00","$4,449.88","$0.00"
"Camacho Calvo Law Group","1","","15.90","$0.00","$4,372.50","$0.00"
"FUERSTE, CAREW, JUERGENS & SUDMEIER, PC","1","$38,474.76","29.60","$0.00","$4,357.24","$0.00"
"SNYDER LAW , LLP","1","$7,151.05","22.30","$2,808.05","$4,343.00","$0.00"
"Faber Brocks & Zane","2","$44,518.29","24.30","$222.50","$4,327.50","$0.00"
"RAY, QUINNEY, NEBEKER","1","$4,304.00","24.60","$0.00","$4,304.00","$0.00"
"Pyatt Silvestri","1","","22.10","$285.09","$4,290.00","$0.00"
"SHUTTLEWORTH WILLIAMS PLLC","1","$4,691.12","28.40","$10.16","$4,260.00","$0.00"
"DIEPENBROCK & COTTER, .","1","$5,147.21","25.70","$905.71","$4,241.50","$0.00"
"Rp&A Partners Ltda De Cv (Romero Pineda & Asociados, Compaa","1","","4.00","$0.00","$4,190.90","$0.00"
