"Firm","# of Matters","Avg Matter Cost","Total Hours","Total Expenses","Total Billed","Total AFA"
"FAIN ANDERSON VANDERHOEF ROSENDAHL O'HALLORAN & SPILLANE PLLC","7","$53,715.68","684.50","$7,181.77","$120,345.60","$0.00"
"Dickinson Wright","1","$120,433.86","282.80","$374.86","$120,059.00","$0.00"
"Coddington, Hicks & Danforth","3","$56,868.31","509.50","$12,498.53","$119,983.89","$0.00"
"RENDIGS FRY KIELY & DENNIS LLP","6","$75,874.84","1,421.49","$3,851.67","$119,888.80","$0.00"
"ADELSON MCLEAN","32","$9,807.74","883.60","$174.64","$119,829.92","$0.00"
"HUCKABAY LAW FIRM","8","$21,181.81","1,105.40","$8,147.82","$119,681.36","$0.00"
"CHARLES JONES","197","$2,241.34","940.80","$0.00","$119,639.08","$0.00"
"INGRAM YUZEK GAINEN CARROLL & BERTOLOTTI LLP","13","$45,763.70","769.00","$8,714.46","$119,530.00","$0.00"
"ROBINSON & LAWING LLP","32","$6,399.16","867.20","$7,342.67","$118,695.14","$0.00"
"ZIMMERMAN KISER & SUTCLIFFE PA","40","$5,066.03","991.30","$3,473.16","$117,696.00","$0.00"
"ROBINSON KRIGER MCCALLUM","32","$5,928.70","898.60","$1,427.46","$116,706.55","$0.00"
"BRADLEY & GMELICH","4","$73,467.26","542.60","$7,275.53","$116,488.00","$0.00"
"MCCOY LEAVITT & LASKEY LLC","1","","736.40","$2,651.07","$116,067.00","$0.00"
"HARRINGTON OCKO, AND MONK","25","$49,668.79","607.40","$4,280.56","$115,497.50","$0.00"
"TARKINGTON, O`NEILL, BARRACK, CHONG","1","$187,776.82","383.60","$3,478.82","$114,180.00","$0.00"
"COBLENTZ PATCH DUFFY & BASS","2","$137,227.21","314.70","$20,866.62","$113,561.00","$0.00"
"Greines Martin Stein & Richland","2","$56,444.19","265.80","$788.19","$119,421.00","$6,300.00"
"METHFESSEL & WERBEL PA","12","$14,728.48","751.80","$4,191.52","$112,197.00","$0.00"
"LONDON & AMBURN","1","","706.60","$109,842.82","$113,867.50","$2,301.00"
"Schenk & Bruetsch","1","","476.70","$0.00","$111,014.50","$0.00"
"BREWSTER MORHOUS CAMERON CARUTH MOORE KERSEY & STAFFORD PLLC","13","$35,060.19","820.60","$3,358.83","$110,998.05","$0.00"
